Style,Exterior Color,Interior Color,MPG,Engine,Drive Type,Fuel Type,Transmission,accidents,owners,year,brand,model,price,mileage,Cab Type,Bed Length,Range
Sedan,Celestite Gray Metallic,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,Corolla,"$17,988 ",38742,,,
Sedan,Super White,Black,28 cty / 36 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,1,2,2019,Toyota,Corolla,"$17,495 ",21424,,,
Sedan,Celestite,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$19,500 ",39145,,,
Sedan,Super White,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,1,2,2020,Toyota,Corolla,"$17,900 ",42983,,,
Hatchback,White,Gray,51 cty / 48 hwy,1.8L Inline-4 Hybrid,FWD,Hybrid,Automatic,0,2,2015,Toyota,Prius,"$12,990 ",144398,,,
Sedan,Blizzard Pearl,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,2,2020,Toyota,Corolla,"$17,987 ",50863,,,
SUV,Super White,Black,27 cty / 35 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,0,2020,Toyota,RAV4,"$24,341 ",52903,,,
Sedan,Blizzard Pearl,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$21,618 ",47053,,,
Sedan,White,Black,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Camry,"$23,995 ",40815,,,
Sedan,Super White,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$20,143 ",6033,,,
Sedan,Black Sand Pearl,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,1,2,2020,Toyota,Corolla,"$19,177 ",76334,,,
Sedan,Blizzard Pearl,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,Corolla,"$16,365 ",45356,,,
Sedan,Blueprint,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,Corolla,"$18,990 ",34070,,,
Sedan,Black Sand Pearl,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$20,420 ",43246,,,
Sedan,Super White,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$19,400 ",61779,,,
Sedan,Super White,Ash,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Camry,"$20,108 ",70133,,,
Sedan,Super White,Black,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,1,1,2020,Toyota,Camry,"$15,498 ",128621,,,
Sedan,Classic Silver Metallic,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$20,499 ",44699,,,
Sedan,Classic Silver Metallic,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,1,2,2020,Toyota,Corolla,"$18,500 ",83373,,,
Sedan,Attitude Black Metallic,Ash,25 cty / 35 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2014,Toyota,Camry,"$8,999 ",163863,,,
Sedan,White,Black,28 cty / 36 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,3,2019,Toyota,Corolla,"$16,999 ",84832,,,
Hatchback,Silver,Black,,1.8L Inline-4 Hybrid,FWD,Hybrid,Automatic,0,1,2015,Toyota,Prius,"$13,999 ",141189,,,
Sedan,Midnight Black Metallic,Ash,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,Camry,"$22,499 ",31993,,,
Sedan,Black,Grey,28 cty / 36 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2019,Toyota,Corolla,"$11,995 ",149297,,,
Sedan,Gray,Gray,51 cty / 48 hwy,1.8L Inline-4 Hybrid,FWD,Hybrid,Automatic,0,1,2010,Toyota,Prius,"$8,995 ",103886,,,
Sedan,Barcelona Red Metallic,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$18,999 ",36008,,,
Sedan,Super White,Unknown,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,Corolla,"$14,000 ",98939,,,
Sedan,Black Sand Pearl,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,3,2020,Toyota,Corolla,"$17,420 ",78476,,,
Sedan,Black,Unknown,24 cty / 33 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,2,2017,Toyota,Camry,"$17,844 ",33213,,,
Sedan,Super White,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$20,999 ",17488,,,
SUV,Silver,Black,41 cty / 38 hwy,2.5L Inline-4 Hybrid,AWD,Hybrid,Automatic,0,0,2020,Toyota,RAV4,"$22,999 ",182500,,,
Sedan,Black Sand Pearl,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,Corolla,"$17,926 ",97246,,,
Sedan,Attitude Black,Black,25 cty / 35 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,1,2,2015,Toyota,Camry,"$8,997 ",174690,,,
Sedan,Black Sand Pearl,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,2,2020,Toyota,Corolla,"$18,198 ",41062,,,
Sedan,Black Sand Pearl,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$16,850 ",93881,,,
Sedan,Black Sand Pearl,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,1,1,2021,Toyota,Corolla,"$20,853 ",29354,,,
Sedan,Super White,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,1,1,2021,Toyota,Corolla,"$20,999 ",43189,,,
Sedan,Elemental Silver Metallic,Black,66 cty / 66 hwy,L - Hydrogen,FWD,Hydrogen,Automatic,0,2,2019,Toyota,Mirai,"$16,495 ",23390,,,
Sedan,Classic Silver Metallic,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$21,951 ",35442,,,
Sedan,Silver,Black,28 cty / 36 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,2,2,2018,Toyota,Corolla,"$14,995 ",63040,,,
Sedan,Barcelona Red Metallic,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$20,999 ",41702,,,
Sedan,Black Sand Pearl,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,1,1,2022,Toyota,Corolla,"$18,100 ",84804,,,
Sedan,Barcelona Red Metallic,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$19,998 ",44643,,,
Sedan,Gray,Gray,25 cty / 35 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,3,2015,Toyota,Camry,"$12,900 ",101829,,,
Sedan,Black Sand Pearl,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$19,999 ",35521,,,
Sedan,Blueprint,Black,31 cty / 40 hwy,2.0L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$16,500 ",154692,,,
Sedan,White,Brown,51 cty / 48 hwy,1.8L Inline-4 Hybrid,FWD,Hybrid,Automatic,0,3,2010,Toyota,Prius,"$11,991 ",96268,,,
SUV,Blizzard Pearl,Black,41 cty / 38 hwy,2.5L Inline-4 Hybrid,AWD,Hybrid,Automatic,0,1,2020,Toyota,RAV4,"$35,622 ",32173,,,
SUV,Midnight Black Metallic,Ash,28 cty / 35 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,1,2,2021,Toyota,RAV4,"$24,999 ",66748,,,
Sedan,Black Sand Pearl,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$19,920 ",40725,,,
Sedan,Wind Chill Pearl/Midnight Black Metallic,Black/Red,22 cty / 31 hwy,3.5L V-6 Gas,FWD,Gas,Automatic,1,1,2021,Toyota,Camry,"$27,798 ",33762,,,
Sedan,Midnight Black Metallic,Black,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,1,1,2021,Toyota,Camry,"$22,237 ",38952,,,
Sedan,Celestite,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,1,1,2020,Toyota,Corolla,"$18,495 ",29236,,,
Sedan,Gray,Unknown,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$20,980 ",46384,,,
Sedan,Midnight Black,Cockpit Red,22 cty / 32 hwy,3.5L V-6 Gas,FWD,Gas,Automatic,0,1,2018,Toyota,Camry,"$21,000 ",88579,,,
Sedan,White,Black,28 cty / 37 hwy,1.8L Inline-4 Gas,FWD,Gas,Manual,0,2,2015,Toyota,Corolla,"$9,995 ",201110,,,
Sedan,Super White,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$19,899 ",42354,,,
Sedan,Barcelona Red Metallic,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,2,2021,Toyota,Corolla,"$19,888 ",59301,,,
Sedan,Classic Silver Metallic,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,1,1,2020,Toyota,Corolla,"$17,698 ",46464,,,
Sedan,Super White,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,2,2020,Toyota,Corolla,"$16,495 ",69439,,,
Hatchback,White,Black,,1.8L Inline-4 Plug-In Hybrid,FWD,Plug-In Hybrid,Automatic,1,3,2017,Toyota,Prius Prime,"$20,999 ",73151,,,
Sedan,White,Grey,51 cty / 48 hwy,1.8L Inline-4 Hybrid,FWD,Hybrid,Automatic,0,3,2011,Toyota,Prius,"$8,995 ",135027,,,
Sedan,Barcelona Red Metallic,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$20,999 ",38761,,,
Sedan,Silver,Tan,51 cty / 48 hwy,1.8L Inline-4 Hybrid,FWD,Hybrid,Automatic,0,2,2014,Toyota,Prius,"$13,991 ",90339,,,
Pickup Truck,Magnetic Gray Metallic,Cement,19 cty / 22 hwy,2.7L Inline-4 Gas,4WD,Gas,Automatic,1,1,2022,Toyota,Tacoma,"$24,995 ",26818,Extended Cab,Standard Bed,
Sedan,Black Sand Pearl,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$19,100 ",60865,,,
Sedan,Super White,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,Corolla,"$19,014 ",80340,,,
Sedan,Celestite,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$21,197 ",59040,,,
Sedan,Super White,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,1,2,2021,Toyota,Corolla,"$18,498 ",32159,,,
Sedan,Super White,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$20,376 ",37171,,,
Sedan,Super White,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$20,987 ",44251,,,
Sedan,Silver,Gray,51 cty / 48 hwy,1.8L Inline-4 Hybrid,FWD,Hybrid,Automatic,0,1,2010,Toyota,Prius,"$10,991 ",117325,,,
Sedan,Celestite,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,1,1,2020,Toyota,Corolla,"$19,691 ",64800,,,
Sedan,Black,Black,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Camry,"$24,995 ",30036,,,
Sedan,Supersonic Red,Black,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2022,Toyota,Camry,"$26,998 ",23098,,,
SUV,Ruby Flare Pearl,Black,41 cty / 38 hwy,2.5L Inline-4 Hybrid,AWD,Hybrid,Automatic,0,1,2021,Toyota,RAV4,"$28,900 ",121989,,,
Sedan,Super White,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$20,877 ",54237,,,
SUV,Magnetic Gray Metallic,Light Gray,28 cty / 35 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,1,1,2020,Toyota,RAV4,"$24,990 ",64165,,,
Sedan,Black,Ash,22 cty / 32 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,2,2011,Toyota,Camry,"$4,500 ",249196,,,
Sedan,Super White,Macadamia,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,3,3,2018,Toyota,Camry,"$11,995 ",218049,,,
Sedan,Black Sand Pearl,Moonstone,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,1,1,2021,Toyota,Corolla,"$22,214 ",27842,,,
Sedan,Black Sand Pearl,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,Corolla,"$19,391 ",72801,,,
Hatchback,Unknown,Unknown,51 cty / 49 hwy,1.8L Inline-4 Hybrid,FWD,Hybrid,Automatic,0,0,2013,Toyota,Prius,"$11,995 ",138000,,,
Sedan,Magnetic Gray Metallic,Dark Charcoal,26 cty / 34 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,2,2013,Toyota,Corolla,"$10,890 ",115329,,,
Sedan,Super White,Ash,21 cty / 31 hwy,3.5L V-6 Gas,FWD,Gas,Automatic,1,2,2014,Toyota,Camry,"$9,000 ",206319,,,
Sedan,Predawn Gray Mica,Black,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2022,Toyota,Camry,"$22,799 ",33398,,,
Sedan,Midnight Black Metallic,Unknown,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,1,2,2018,Toyota,Camry,"$18,500 ",14870,,,
Sedan,Barcelona Red Metallic,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,1,1,2020,Toyota,Corolla,"$18,198 ",48314,,,
Sedan,Super White,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,Corolla,"$21,998 ",19930,,,
Sedan,Black Sand Pearl,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,1,2,2020,Toyota,Corolla,"$20,000 ",56000,,,
Sedan,White,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,2,2022,Toyota,Corolla,"$22,985 ",27722,,,
Sedan,Classic Silver Metallic,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$20,951 ",60932,,,
Sedan,Black Sand Pearl,Macadamia,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$22,998 ",23743,,,
Sedan,Barcelona Red Metallic,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$18,333 ",69348,,,
Sedan,Super White,Black,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Camry,"$24,495 ",41308,,,
Sedan,Super White,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$20,497 ",62187,,,
SUV,Magnetic Gray Metallic,Black,23 cty / 30 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2018,Toyota,RAV4,"$17,824 ",103033,,,
Sedan,Black Sand Pearl,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$19,700 ",61578,,,
Hatchback,White,Gray,,1.8L Inline-4 Hybrid,FWD,Hybrid,Automatic,0,1,2015,Toyota,Prius,"$15,999 ",125958,,,
Sedan,Black Sand Pearl,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$21,295 ",26177,,,
Sedan,Super White,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,1,1,2020,Toyota,Corolla,"$17,499 ",84371,,,
Sedan,White,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2022,Toyota,Corolla,"$21,999 ",28660,,,
Sedan,Predawn Gray Mica,Black,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,0,2022,Toyota,Camry,"$26,988 ",13645,,,
Sedan,Black Sand Pearl,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,1,2,2021,Toyota,Corolla,"$19,995 ",39931,,,
Sedan,Classic Silver Metallic,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,Corolla,"$19,223 ",74631,,,
Sedan,Predawn Gray Mica,Unknown,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,Camry,"$16,485 ",151462,,,
Sedan,Super White,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,1,2,2021,Toyota,Corolla,"$20,998 ",24919,,,
Sedan,Super White,Black,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Camry,"$26,488 ",27928,,,
Sedan,Classic Silver Metallic,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,1,1,2021,Toyota,Corolla,"$19,799 ",35625,,,
SUV,Magnetic Gray Metallic,Unknown,27 cty / 35 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,RAV4,"$24,577 ",30255,,,
Sedan,Super White,Black,28 cty / 36 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,3,2018,Toyota,Corolla,"$18,998 ",53517,,,
Sedan,Blueprint,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,Corolla,"$21,000 ",24646,,,
Sedan,Super White,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$18,988 ",60898,,,
Sedan,Celestite,Moonstone,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$22,605 ",27668,,,
Hatchback,Gray,Gray,,1.8L Inline-4 Hybrid,FWD,Hybrid,Automatic,0,3,2015,Toyota,Prius,"$14,999 ",105622,,,
Sedan,Barcelona Red Metallic,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,2,2020,Toyota,Corolla,"$18,295 ",40721,,,
SUV,Magnetic Gray Metallic,Black,17 cty / 20 hwy,4.0L V-6 Gas,4WD,Gas,Automatic,0,2,2018,Toyota,4Runner,"$28,900 ",54762,,,
Sedan,Super White,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,2,2020,Toyota,Corolla,"$21,997 ",25688,,,
Pickup Truck,White,Black/Gun Metal,18 cty / 22 hwy,3.5L V-6 Gas,4WD,Gas,Automatic,0,2,2022,Toyota,Tacoma,"$38,170 ",17442,Crew Cab,Short Bed,
Sedan,49035,Gray,25 cty / 35 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,3,2015,Toyota,Camry,"$12,899 ",130162,,,
Sedan,White,Grey,26 cty / 34 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,3,2013,Toyota,Corolla,"$10,999 ",117787,,,
Pickup Truck,Midnight Black Metallic,Graphite,13 cty / 17 hwy,5.7L V-8 Gas,4WD,Gas,Automatic,0,1,2020,Toyota,Tundra,"$31,900 ",41420,Extended Cab,Standard Bed,
SUV,Magnetic Gray Metallic,Black,41 cty / 38 hwy,2.5L Inline-4 Hybrid,AWD,Hybrid,Automatic,0,1,2020,Toyota,RAV4,"$37,991 ",26559,,,
Sedan,Black Sand Pearl,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2022,Toyota,Corolla,"$21,876 ",11823,,,
Sedan,Black Sand Pearl,Beige,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,2,2020,Toyota,Corolla,"$13,995 ",53368,,,
Hatchback,Blue,Gray,51 cty / 48 hwy,1.8L Inline-4 Hybrid,FWD,Hybrid,Automatic,2,2,2015,Toyota,Prius,"$12,955 ",115733,,,
Sedan,Midnight Black Metallic,Unknown,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,1,1,2020,Toyota,Camry,"$22,999 ",61245,,,
Convertible,Arctic Frost Pearl,Dark Stone,20 cty / 29 hwy,3.3L V-6 Gas,FWD,Gas,Automatic,0,5,2006,Toyota,Camry Solara,"$10,200 ",78549,,,
Sedan,Barcelona Red Metallic,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$21,999 ",17892,,,
Sedan,Black Sand Pearl,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,2,2020,Toyota,Corolla,"$19,777 ",33213,,,
Sedan,Midnight Black Metallic,Black,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Camry,"$21,878 ",85629,,,
SUV,Super White,Unknown,25 cty / 33 hwy,2.5L Inline-4 Gas,AWD,Gas,Automatic,3,1,2019,Toyota,RAV4,"$21,495 ",115874,,,
Pickup Truck,Silver Sky Metallic,Graphite,13 cty / 17 hwy,5.7L V-8 Gas,4WD,Gas,Automatic,0,1,2020,Toyota,Tundra,"$30,995 ",138375,Crew Cab,Short Bed,
Sedan,Super White,Unknown,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,2,2021,Toyota,Corolla,"$21,972 ",55063,,,
Sedan,Super White,Black,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,2,2018,Toyota,Camry,"$17,700 ",86100,,,
SUV,Lunar Rock,Black,27 cty / 33 hwy,2.5L Inline-4 Gas,AWD,Gas,Automatic,0,1,2020,Toyota,RAV4,"$23,988 ",51573,,,
Sedan,Blizzard Pearl,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,Corolla,"$20,888 ",44985,,,
Sedan,Blueprint,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,Corolla,"$19,995 ",69452,,,
SUV,Magnetic Gray Metallic,Black,28 cty / 35 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,RAV4,"$26,891 ",60469,,,
Sedan,Black,Gray,28 cty / 35 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2019,Toyota,Corolla,"$16,999 ",69890,,,
Sedan,Super White,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$19,477 ",45271,,,
Sedan,Super White,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,Corolla,"$19,282 ",81370,,,
Sedan,Blueprint,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,2,1,2020,Toyota,Corolla,"$17,998 ",45983,,,
Minivan,Silver Sky Metallic,Bisque,18 cty / 24 hwy,3.5L V-6 Gas,FWD,Gas,Automatic,0,3,2011,Toyota,Sienna,"$7,982 ",192877,,,
Sedan,Super White,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$20,595 ",41024,,,
Sedan,Blizzard Pearl,Light Gray,53 cty / 52 hwy,1.8L Inline-4 Hybrid,FWD,Hybrid,Automatic,0,1,2020,Toyota,Corolla,"$21,999 ",50890,,,
